Date,Open,High,Low,Close,Adj Close,Volume
2020-08-20,6.402903,6.433769,6.383782,6.388818,6.388818,0
2020-08-21,6.411200,6.476234,6.365100,6.414244,6.414244,0
2020-08-24,6.456240,6.461993,6.434319,6.460700,6.460700,0
2020-08-25,6.447526,6.454913,6.408800,6.446420,6.446420,0
2020-08-26,6.441673,6.461550,6.433100,6.447620,6.447620,0
2020-08-27,6.404229,6.476453,6.404229,6.404479,6.404479,0
2020-08-28,6.474600,6.478753,6.432462,6.476151,6.476151,0
2020-08-31,6.466496,6.477900,6.415736,6.464300,6.464300,0
2020-09-01,6.443356,6.453201,6.400827,6.437257,6.437257,0
2020-09-02,6.455392,6.483479,6.431000,6.455524,6.455524,0
2020-09-03,6.483100,6.518475,6.481500,6.484100,6.484100,0
2020-09-04,6.478800,6.509000,6.470500,6.480816,6.480816,0
2020-09-07,6.498325,6.512100,6.480854,6.499623,6.499623,0
2020-09-08,6.505733,6.575810,6.495982,6.509200,6.509200,0
2020-09-09,6.595433,6.617163,6.557489,6.598900,6.598900,0
2020-09-10,6.561300,6.576458,6.528383,6.551960,6.551960,0
2020-09-11,6.583687,6.595900,6.564121,6.581200,6.581200,0
2020-09-14,6.578000,6.586500,6.537943,6.575600,6.575600,0
2020-09-15,6.583500,6.617400,6.574326,6.581968,6.581968,0
2020-09-16,6.595200,6.620450,6.577700,6.594326,6.594326,0
2020-09-17,6.594500,6.640500,6.583641,6.593423,6.593423,0
2020-09-18,6.604019,6.635100,6.592130,6.611700,6.611700,0
2020-09-21,6.629200,6.723600,6.617000,6.634800,6.634800,0
2020-09-22,6.706886,6.734447,6.687503,6.712280,6.712280,0
2020-09-23,6.693863,6.710264,6.666000,6.704900,6.704900,0
2020-09-24,6.694883,6.755000,6.692055,6.695655,6.695655,0
2020-09-25,6.719900,6.758509,6.684265,6.695394,6.695394,0
2020-09-28,6.727511,6.746176,6.679744,6.735163,6.735163,0
2020-09-29,6.714127,6.751224,6.697183,6.713439,6.713439,0
2020-09-30,6.718597,6.759600,6.697066,6.719400,6.719400,0
2020-10-01,6.684200,6.699900,6.653125,6.683700,6.683700,0
2020-10-02,6.688400,6.711980,6.639867,6.681900,6.681900,0
2020-10-05,6.674950,6.682200,6.611600,6.674698,6.674698,0
2020-10-06,6.614547,6.639164,6.578508,6.612463,6.612463,0
2020-10-07,6.646200,6.667456,6.616508,6.645500,6.645500,0
2020-10-08,6.629887,6.650152,6.616242,6.631200,6.631200,0
